Date,Open,High,Low,Close,Adj Close,Volume
2021-11-08,0.213255,0.274732,0.155760,0.175889,0.175889,14576867
2021-11-09,0.175888,0.240710,0.150428,0.154672,0.154672,7136292
2021-11-10,0.154658,0.189908,0.117171,0.119157,0.119157,1856420
2021-11-11,0.119222,0.157168,0.117887,0.137226,0.137226,1490661
2021-11-12,0.137429,0.171227,0.117044,0.122951,0.122951,1975986
2021-11-13,0.122758,0.134912,0.111777,0.112859,0.112859,2025452
2021-11-14,0.112862,0.115203,0.098679,0.108384,0.108384,1371355
2021-11-15,0.108377,0.143196,0.103932,0.116580,0.116580,1584761
2021-11-16,0.116625,0.124357,0.103261,0.103894,0.103894,1222608
2021-11-17,0.103885,0.118309,0.097192,0.111766,0.111766,602896
2021-11-18,0.111797,0.131672,0.105732,0.106316,0.106316,622851
2021-11-19,0.106302,0.112838,0.092849,0.098855,0.098855,685783
2021-11-20,0.098846,0.099040,0.088294,0.092232,0.092232,721965
2021-11-21,0.092191,0.122141,0.091090,0.112398,0.112398,813285
2021-11-22,0.112411,0.155150,0.106725,0.140565,0.140565,1103187
2021-11-23,0.140576,0.149020,0.115077,0.145275,0.145275,1418992
2021-11-24,0.145272,0.229563,0.134478,0.146006,0.146006,856289
2021-11-25,0.216102,0.229261,0.169382,0.178905,0.178905,2159555
2021-11-26,0.217150,0.272582,0.190733,0.209991,0.209991,2064128
2021-11-27,0.209971,0.213260,0.183561,0.184580,0.184580,1456188
2021-11-28,0.184558,0.229473,0.158741,0.215639,0.215639,1491185
2021-11-29,0.215629,0.226472,0.177723,0.189421,0.189421,1741325
2021-11-30,0.189493,0.189559,0.126134,0.129893,0.129893,1365227
2021-12-01,0.129927,0.136893,0.103397,0.122733,0.122733,1816590
2021-12-02,0.122725,0.125134,0.110764,0.114230,0.114230,1276545
2021-12-03,0.114209,0.114830,0.107564,0.107750,0.107750,456083
2021-12-04,0.107744,0.108238,0.085527,0.090482,0.090482,265364
2021-12-05,0.090479,0.099928,0.088812,0.092005,0.092005,467305
2021-12-06,0.091998,0.093766,0.080597,0.087093,0.087093,352879
2021-12-07,0.087094,0.089685,0.066600,0.068874,0.068874,250291
2021-12-08,0.068876,0.068876,0.059021,0.063172,0.063172,310103
2021-12-09,0.063154,0.070606,0.062582,0.063115,0.063115,199626
2021-12-10,0.063087,0.065450,0.057241,0.057242,0.057242,138082
2021-12-11,0.057242,0.057998,0.049532,0.050483,0.050483,171946
2021-12-12,0.050508,0.051221,0.046308,0.048577,0.048577,170781
2021-12-13,0.048568,0.049138,0.045850,0.046094,0.046094,99181
2021-12-14,0.046112,0.047243,0.045774,0.046188,0.046188,50907
2021-12-15,0.046164,0.046630,0.039557,0.040181,0.040181,72596
2021-12-16,0.040205,0.045527,0.039199,0.045087,0.045087,86625
2021-12-17,0.045081,0.045081,0.043164,0.043585,0.043585,43286
2021-12-18,0.043635,0.043696,0.038459,0.038502,0.038502,32196
2021-12-19,0.038499,0.041243,0.033797,0.034123,0.034123,54179
2021-12-20,0.034143,0.034307,0.031356,0.031629,0.031629,157668
2021-12-21,0.031631,0.032695,0.030291,0.030514,0.030514,143638
2021-12-22,0.030527,0.032409,0.029846,0.030352,0.030352,281564
2021-12-23,0.030369,0.033433,0.028031,0.028255,0.028255,517430
2021-12-24,0.028251,0.032225,0.026691,0.026709,0.026709,651078
2021-12-25,0.026703,0.027795,0.026106,0.026255,0.026255,465911
2021-12-26,0.026254,0.026264,0.024607,0.024611,0.024611,82703
2021-12-27,0.024607,0.025149,0.021151,0.021198,0.021198,257331
2021-12-28,0.021181,0.021403,0.020174,0.020808,0.020808,419760
2021-12-29,0.020804,0.026134,0.020457,0.023166,0.023166,682302
2021-12-30,0.023164,0.025193,0.022659,0.024343,0.024343,610865
2021-12-31,0.024342,0.031061,0.022640,0.028438,0.028438,508401
2022-01-01,0.028441,0.028441,0.024470,0.024837,0.024837,449604
