Date,Open,High,Low,Close,Adj Close,Volume
2021-12-14,0.018308,0.270991,0.018258,0.122914,0.122914,231618
2021-12-15,0.098122,0.098205,0.045781,0.055738,0.055738,142157
2021-12-16,0.055751,0.107786,0.046092,0.055063,0.055063,60071
2021-12-17,0.055120,0.075353,0.035662,0.040663,0.040663,37053
2021-12-18,0.040602,0.046307,0.038277,0.039919,0.039919,30121
2021-12-19,0.039929,0.041300,0.036092,0.038143,0.038143,28258
2021-12-20,0.038152,0.040700,0.034411,0.036480,0.036480,23383
2021-12-21,0.036474,0.037049,0.031501,0.035158,0.035158,27347
2021-12-22,0.035163,0.037725,0.033044,0.033107,0.033107,22140
2021-12-23,0.033117,0.036137,0.032418,0.034570,0.034570,36108
2021-12-24,0.034562,0.041469,0.029406,0.029651,0.029651,27128
2021-12-25,0.029626,0.034858,0.028861,0.029547,0.029547,16105
2021-12-26,0.029530,0.031465,0.028656,0.029120,0.029120,21624
2021-12-27,0.029101,0.029336,0.028804,0.028875,0.028875,16614
2021-12-28,0.028830,0.028830,0.025332,0.026177,0.026177,25661
2021-12-29,0.026176,0.026352,0.022088,0.022505,0.022505,28149
2021-12-30,0.022472,0.024241,0.022124,0.023449,0.023449,27191
2021-12-31,0.023443,0.023593,0.021676,0.022048,0.022048,13506
2022-01-01,0.022050,0.039883,0.021946,0.039648,0.039648,33248
2022-01-02,0.039644,0.044070,0.028279,0.032633,0.032633,23485
2022-01-03,0.032633,0.044113,0.031738,0.034447,0.034447,31471
2022-01-04,0.034447,0.040628,0.033109,0.036731,0.036731,33407
2022-01-05,0.036732,0.037693,0.028941,0.030473,0.030473,25014
2022-01-06,0.030473,0.031445,0.025651,0.026020,0.026020,29552
2022-01-07,0.026016,0.026366,0.022457,0.023337,0.023337,17099
2022-01-08,0.023339,0.030912,0.023316,0.025739,0.025739,25374
2022-01-09,0.025737,0.029102,0.025566,0.027628,0.027628,27253
2022-01-10,0.027628,0.028285,0.024172,0.027978,0.027978,30049
2022-01-11,0.027977,0.034720,0.026385,0.030952,0.030952,33622
2022-01-12,0.030952,0.034336,0.028987,0.034226,0.034226,31855
2022-01-13,0.034225,0.034761,0.029911,0.029933,0.029933,23079
2022-01-14,0.029933,0.031482,0.028089,0.031107,0.031107,31704
2022-01-15,0.031106,0.031302,0.028547,0.029050,0.029050,25033
2022-01-16,0.029049,0.103156,0.027560,0.054933,0.054933,68248
2022-01-17,0.054933,0.092700,0.054224,0.060794,0.060794,56863
2022-01-18,0.060793,0.069859,0.051058,0.064708,0.064708,48079
2022-01-19,0.064705,0.068807,0.050091,0.055423,0.055423,28597
2022-01-20,0.055414,0.059950,0.054123,0.054127,0.054127,30641
2022-01-21,0.054159,0.056603,0.039904,0.040773,0.040773,30436
2022-01-22,0.040823,0.045471,0.037973,0.043213,0.043213,15182
2022-01-23,0.043243,0.046206,0.041205,0.043558,0.043558,16064
2022-01-24,0.043572,0.043572,0.034184,0.039401,0.039401,34097
2022-01-25,0.039402,0.039953,0.036701,0.039261,0.039261,20243
2022-01-26,0.039256,0.042296,0.037815,0.039054,0.039054,774
2022-01-27,0.039047,0.040786,0.037757,0.039534,0.039534,4269
2022-01-28,0.039513,0.040226,0.036403,0.038731,0.038731,13859
2022-01-29,0.038723,0.039177,0.035680,0.036418,0.036418,14898
2022-01-30,0.036439,0.037920,0.035796,0.036475,0.036475,23956
2022-01-31,0.036472,0.037851,0.033623,0.037529,0.037529,31276
