Date,Open,High,Low,Close,Adj Close,Volume
2021-10-26,0.012287,0.044174,0.012286,0.044079,0.044079,1405898
2021-10-27,0.044053,0.138636,0.044053,0.137774,0.137774,3144896
2021-10-28,0.137753,2.312396,0.137753,2.274305,2.274305,6854507
2021-10-29,2.273854,11.804243,2.271977,11.780153,11.780153,12565346
2021-10-30,11.777337,15.830489,11.777337,15.701819,15.701819,10550028
2021-10-31,15.702717,38.642097,15.678432,38.472939,38.472939,6655698
2021-11-01,38.479702,2861.798096,0.000793,0.003304,0.003304,17139502
2021-11-02,0.003305,0.004580,0.002690,0.003756,0.003756,14870939
2021-11-03,0.003759,0.021745,0.003750,0.018484,0.018484,13774700
2021-11-04,0.018503,0.174271,0.017158,0.092244,0.092244,113031195
2021-11-05,0.092171,0.244987,0.039146,0.232191,0.232191,221542373
2021-11-06,0.232376,0.805550,0.176181,0.638884,0.638884,384382270
2021-11-07,0.638541,0.655866,0.265758,0.322869,0.322869,424750826
2021-11-08,0.322863,0.497311,0.223570,0.379090,0.379090,276586871
2021-11-09,0.379102,0.465597,0.285302,0.370182,0.370182,183903308
2021-11-10,0.369567,0.380576,0.245638,0.295771,0.295771,124492583
2021-11-11,0.296310,0.330633,0.213860,0.221987,0.221987,85077334
2021-11-12,0.221945,0.228841,0.147579,0.173174,0.173174,68113615
2021-11-13,0.173176,0.351413,0.171251,0.271082,0.271082,96674521
2021-11-14,0.271028,0.319256,0.218812,0.244894,0.244894,72061560
2021-11-15,0.244887,0.245494,0.189332,0.201233,0.201233,38258884
2021-11-16,0.201055,0.260793,0.175434,0.224833,0.224833,32415653
2021-11-17,0.224744,0.251401,0.210243,0.212588,0.212588,29917533
2021-11-18,0.212514,0.250421,0.185515,0.195914,0.195914,29815364
2021-11-19,0.195989,0.230433,0.191561,0.201109,0.201109,33618407
2021-11-20,0.200848,0.205535,0.169963,0.183839,0.183839,25658438
2021-11-21,0.183748,0.194683,0.161765,0.166560,0.166560,22287989
2021-11-22,0.166511,0.181232,0.149973,0.151308,0.151308,18148558
2021-11-23,0.151292,0.160865,0.118764,0.129072,0.129072,18334160
2021-11-24,0.129102,0.184997,0.111673,0.124051,0.124051,13276622
2021-11-25,0.148373,0.163861,0.133647,0.137909,0.137909,20873554
2021-11-26,0.133996,0.146931,0.120852,0.126622,0.126622,13241042
2021-11-27,0.126567,0.129350,0.113923,0.115736,0.115736,11242954
2021-11-28,0.115769,0.132555,0.104637,0.122468,0.122468,12359770
2021-11-29,0.122420,0.124478,0.109950,0.112149,0.112149,11310186
2021-11-30,0.112109,0.115321,0.107274,0.108758,0.108758,9619947
