Date,Open,High,Low,Close,Adj Close,Volume
2017-11-09,0.002304,0.002438,0.002285,0.002344,0.002344,2924350
2017-11-10,0.002335,0.002350,0.001989,0.002013,0.002013,2193620
2017-11-11,0.002026,0.002298,0.001890,0.002003,0.002003,1748460
2017-11-12,0.002006,0.002006,0.001684,0.001783,0.001783,2174370
2017-11-13,0.001795,0.002146,0.001771,0.002112,0.002112,2889150
2017-11-14,0.002111,0.002566,0.002063,0.002485,0.002485,4040400
2017-11-15,0.002444,0.002500,0.002188,0.002322,0.002322,5008060
2017-11-16,0.002323,0.002338,0.001823,0.002209,0.002209,5082450
2017-11-17,0.002187,0.002189,0.001949,0.001984,0.001984,5720510
2017-11-18,0.001980,0.002043,0.001906,0.002028,0.002028,5709820
2017-11-19,0.002020,0.002113,0.001951,0.002002,0.002002,4289470
2017-11-20,0.001993,0.002185,0.001993,0.002134,0.002134,3909200
2017-11-21,0.002148,0.002199,0.002005,0.002143,0.002143,3417520
2017-11-22,0.002146,0.002540,0.002122,0.002302,0.002302,4119730
2017-11-23,0.002311,0.002429,0.002043,0.002105,0.002105,4402340
2017-11-24,0.002106,0.002163,0.001969,0.002025,0.002025,4204470
2017-11-25,0.002027,0.002109,0.001993,0.002048,0.002048,4704770
2017-11-26,0.002050,0.002190,0.001971,0.002138,0.002138,6245890
2017-11-27,0.002151,0.002225,0.002009,0.002062,0.002062,6405580
2017-11-28,0.002062,0.002390,0.001991,0.002308,0.002308,6065010
2017-11-29,0.002310,0.002610,0.001935,0.002068,0.002068,7852660
2017-11-30,0.002090,0.002300,0.002031,0.002244,0.002244,4155450
2017-12-01,0.002241,0.002247,0.002057,0.002118,0.002118,6294070
2017-12-02,0.002110,0.002212,0.002032,0.002073,0.002073,5760180
2017-12-03,0.002080,0.002204,0.002034,0.002116,0.002116,7261200
2017-12-04,0.002124,0.002169,0.002049,0.002144,0.002144,10447300
2017-12-05,0.002139,0.002184,0.002058,0.002085,0.002085,8749920
2017-12-06,0.002068,0.004077,0.002068,0.003055,0.003055,33314700
2017-12-07,0.003134,0.005808,0.002974,0.004275,0.004275,44215300
2017-12-08,0.004311,0.004731,0.003682,0.004394,0.004394,21605600
2017-12-09,0.004441,0.004789,0.004305,0.004473,0.004473,17520500
2017-12-10,0.004452,0.004630,0.003489,0.004408,0.004408,18145200
2017-12-11,0.004436,0.005282,0.004383,0.005282,0.005282,20137200
2017-12-12,0.005177,0.007675,0.004903,0.007613,0.007613,48699100
2017-12-13,0.007614,0.018094,0.006823,0.016460,0.016460,174319008
2017-12-14,0.016445,0.020064,0.015114,0.017690,0.017690,192816992
2017-12-15,0.017420,0.018434,0.014580,0.018434,0.018434,139710000
2017-12-16,0.018405,0.037327,0.018405,0.036271,0.036271,336496000
2017-12-17,0.037670,0.041387,0.034599,0.036190,0.036190,338444992
2017-12-18,0.036372,0.046912,0.032634,0.044589,0.044589,369401984
2017-12-19,0.044442,0.053959,0.040145,0.046848,0.046848,235095008
2017-12-20,0.046852,0.048883,0.036669,0.048883,0.048883,317193984
2017-12-21,0.049966,0.070908,0.039734,0.045969,0.045969,460308000
2017-12-22,0.045662,0.046370,0.022616,0.039074,0.039074,494380000
2017-12-23,0.040300,0.057063,0.035975,0.051791,0.051791,503996992
2017-12-24,0.051473,0.051742,0.033265,0.036209,0.036209,230931008
2017-12-25,0.036706,0.041792,0.033296,0.035177,0.035177,189610000
2017-12-26,0.035748,0.045473,0.032838,0.037832,0.037832,263744992
2017-12-27,0.037830,0.041325,0.035362,0.036831,0.036831,173156000
2017-12-28,0.036722,0.041974,0.032258,0.041974,0.041974,261940992
2017-12-29,0.042007,0.043162,0.034757,0.036348,0.036348,246896992
2017-12-30,0.036357,0.038796,0.031117,0.036413,0.036413,256698000
2017-12-31,0.036129,0.045258,0.034681,0.044752,0.044752,375152000
2018-01-01,0.044682,0.052813,0.043400,0.051695,0.051695,516798016
2018-01-02,0.052070,0.086989,0.052070,0.078682,0.078682,1604039936
2018-01-03,0.078648,0.094703,0.068306,0.094703,0.094703,1136850048
2018-01-04,0.094920,0.217114,0.094920,0.207974,0.207974,4089410048
2018-01-05,0.209579,0.300363,0.176712,0.220555,0.220555,3864399872
