,Datetime,Text,LikeCount,RetweetCount,ReplyCount
0,2022-01-31 21:25:10+00:00,Minereum Market Cap Hits $1.14 Million (MNE) https://t.co/wOSfaroXv7,1,0,0
1,2022-01-31 15:45:18+00:00,@cumkom ไม่เคยใช้อันอื่น อีนี่ที่โหลดมาก็เพื่อโดนสแกมหลอกให้กดเอา Minereum 5555555555,1,0,0
2,2022-01-31 14:40:03+00:00,"hope! halo guys aku mau nanya kalo di tru5t w4llet tiba"" ada minereum bsc trs nominalnya juga lumayan, itu sc4mm ya?? tia",1,0,1
3,2022-01-31 14:10:15+00:00,@KriptoAyhan1 150000 minereum var ne yapmaliyim,0,0,0
4,2022-01-31 11:22:35+00:00,#minereum sucks https://t.co/ClN6i63nhh,2,0,2
5,2022-01-30 23:05:06+00:00,@bchillz42 There's a minereum in my account on BSC. There's a presence of a honeypot or exploit. Be careful,2,0,2
6,2022-01-30 21:04:38+00:00,@SMiTHiE___ @adedotunad How can I sell Minereum BSC. I have tons of it,0,0,4
7,2022-01-29 22:45:27+00:00,"#crofam I've just ended up with 150,000 minereum tokens in my coinbase wallet.....scam or what 😂😂 #cro #loadedlions #loadedlionsfam",5,0,7
8,2022-01-29 21:14:59+00:00,@minereumtoken hi! My balance won’t show up on the minereum home page… can you help? https://t.co/6DeT0cRFOt,0,0,4
9,2022-01-29 13:20:09+00:00,@Juliett_Finance @MMCrypto You can claim your Minereum on trust wallet .,2,0,3
10,2022-01-29 11:33:03+00:00,"@minereumtoken @coinkit_ I just convert my Minereum to USDT, this is great never knew it’s possible",2,0,5
11,2022-01-28 20:55:17+00:00,@Airdrop_hunnter Saw a video on YouTube on how a guy swap it minereum to eth on O2swap. How truth is this pls. ?!!,0,0,0
12,2022-01-28 20:01:57+00:00,"Minereum erc-20 
32000 coins for sale 

https://t.co/p2AWeOe3if",0,0,0
13,2022-01-28 16:20:55+00:00,"Top 5 #crypto gainers in the past 24 hours 

 $YAM V, Gained: 🔼4398.29% 

$Crypto Rocket Launch Plus, Gained: 🔼211.71% 

$MetaVice, Gained: 🔼157.60% 

$Minereum, Gained: 🔼127.11% 

$Rogue Doge, Gained: 🔼117.14% 

 Sell(like) Buy more(retweet)",0,0,0
14,2022-01-28 15:20:29+00:00,"Top 5 #crypto gainers in the past 24 hours 

 $Crypto Rocket Launch Plus, Gained: 🔼525.98% 

$Silva Token, Gained: 🔼491.84% 

$Godzilla LaunchPad, Gained: 🔼170.73% 

$MetaVice, Gained: 🔼168.68% 

$Minereum, Gained: 🔼164.58% 

 Sell(like) Buy more(retweet)",0,0,0
15,2022-01-28 14:20:40+00:00,"Top 5 #crypto gainers in the past 24 hours 

 $Crypto Rocket Launch Plus, Gained: 🔼556.34% 

$Silva Token, Gained: 🔼479.40% 

$Godzilla LaunchPad, Gained: 🔼198.42% 

$MetaVice, Gained: 🔼178.38% 

$Minereum, Gained: 🔼146.90% 

 Sell(like) Buy more(retweet)",7,5,4
16,2022-01-28 12:31:31+00:00,@CriptoTed binance es bien centralizada mejor un hilo de algo decentralizado sin tanto scam como binance scam chain.. o como quitar la mierda de minereum que sale en mi cartera y solo es basura,0,0,0
17,2022-01-28 10:08:55+00:00,"@minereumtoken I’ve got 2 Genesis Addresses of $MNEP.

How can I sell them to someone that wants to go through the whole minereum thing??",0,1,3
18,2022-01-28 09:07:58+00:00,"Airdrop Scams, Minereum (MNEB) and VeloChain (VELO), Land on Binance Smart Chain https://t.co/6YWmcHd4IS",0,0,0
19,2022-01-27 21:43:10+00:00,"#ShoutOut to Minereum for the Minereum BSC #AirDrop ... go get you a plot of land in this #Metaverse while it's still relatively inexpensive 

https://t.co/RHXhkxmHwz

#NFT

#BSC

#Crypto https://t.co/yjfeUWoG1r",2,1,0
20,2022-01-27 06:50:15+00:00,Who els got this useless random airdrop payment ?  #MNEB #minereum https://t.co/q6WcPuOB4k,3,0,5
21,2022-01-26 15:17:43+00:00,@AirdropKart Is there that can swap minereum to eth here pls,0,0,0
22,2022-01-26 14:06:16+00:00,@Kerem62645555 @ThomasGaretz U shouldn't depend on the floki. It's also the same as minereum coin.,3,0,3
23,2022-01-26 09:00:51+00:00,"Minereum World Metaverse Is Planned to Be Launched in Q1 2022, Land Pre-Sale Is Live

Toplist Crypto Casino &amp; SportsBook 👉 https://t.co/4RPbxhUeNy 👈
https://t.co/l8XtFhmSR3",0,0,0
24,2022-01-25 20:46:12+00:00,@Kriptoburaks Minereum bsc mi çünkü o da çok yüklü miktar gönderdi,0,0,0
25,2022-01-25 18:56:01+00:00,"@Airdrop_hunnter deception without participating in the air drop even 100 coins are still in the wallet,,, this is the same as Minereum MNEB,,",0,0,0
26,2022-01-25 17:01:07+00:00,"If you have received Minereum BSC (MNEB)... DO NOT SELL OR TRANSFER! It is a SCAM to steal your BNB. I say again. DO. NOT. SELL. OR. TRANSFER.

Thank God I research my stuff!

https://t.co/G2C9NZrVVl",4,0,0
27,2022-01-25 16:48:44+00:00,"@CoinbaseSupport my Coinbase Wallet was given 150,000 Minereum (MNEB) which is a confirmed scam. How can I remove these tokens from my holding without transfer fees. I don't care what happens to them, I just want them gone.",2,0,12
28,2022-01-24 20:27:50+00:00,"How to claim $8,500 worth of MINEREUM into your trustwallet and swap it. legitimate or fake? https://t.co/UhmL2Yrulj",0,0,0
29,2022-01-24 18:39:44+00:00,#SCAM #MNP #Polygon #minereum @minereumtoken  scam. https://t.co/srmjq1XlBh,0,0,1
30,2022-01-24 09:48:57+00:00,@Suri_The_Indian @minereumtoken How you swap your minereum?,0,0,3
31,2022-01-24 07:35:43+00:00,@mneb_ why cannot withdraw of minereum,0,0,0
32,2022-01-23 22:36:13+00:00,"DO YOU NEED TO SWAP YOUR MINEREUM or carlive coin?

For more information on how to do it chat me https://t.co/StvNIi1wGG",0,0,0
33,2022-01-23 19:10:04+00:00,"Fighting scam in crypto-space, two tokens at a time!

‼️TOXIC SHIT - STAY AWAY - HONEYPOTS/SCAMS‼️

☣️⚠️• Big Red Dog (BDOG) @BigRedDogToken
☣️⚠️• Minereum (BSC) @Minereumcoin 

$NSH #ScamAlert #bsc #cryptonews #honeypot",1,0,2
34,2022-01-23 18:39:20+00:00,"@Wizardara I just got one myself.. Minereum BSC... Said my trust had 9000$ but wants a fee to ""unlock"" it lol... Sad part is people believe because they have a convincing website that shows it as a mining token! Don't be fooled. No one is gonna send you 9 grand out of the blue",0,0,2
35,2022-01-23 17:13:07+00:00,"Fighting scam in crypto-space, two tokens at a time!

‼️TOXIC SHIT - STAY AWAY - HONEYPOTS/SCAMS‼️

☣️⚠️• Big Red Dog (BDOG) @BigRedDogToken
☣️⚠️• Minereum (BSC) @Minereumcoin 

$NSH #ScamAlert #bsc #cryptonews #honeypot",66,31,14
36,2022-01-23 15:35:29+00:00,@zidorn28 It’s my account. Ig minereum BSC the 150 000 ones are free for everyone,1,0,1
37,2022-01-23 05:17:34+00:00,"Minereum World Metaverse Is Planned to Be Launched in Q1 2022, Land Pre-Sale Is Live https://t.co/qp7ExnzO38",39,16,14
38,2022-01-23 04:19:27+00:00,"このMinereum Polygonは、
下記のサイトによれば、
2017年に始動したらしい。

https://t.co/UXVlLgCShw

下記のサイトに、
「POLYGONWeb3プラットフォーム」
とあり、本当に嘘のトークンなのか、
困惑してきた。

https://t.co/h8ljGbvxeF",0,0,0
39,2022-01-23 03:47:32+00:00,"@Minereumcoin Just asking, why the bot ask for Bep-20 address wherein the Minereum in Trust Wallet is ERC-20? Anyone can answer?",0,0,9
40,2022-01-22 16:17:11+00:00,"@ChampionNkeng @ehsanh47 @Airdrop_hunnter Hi, i don’t use twitter but i want to talk with you i have around 150.000 minereum bsc is around 5000/8000€ total value it is real? If i put bnb it will be deducted by minereum?",0,0,0
41,2022-01-22 13:10:25+00:00,"Has anyone thought to put giant batteries in some of the skyscrapers no longer in use due to #covid?  You could hold a lot of the grid's solar power.  Could be nice for #miners bc NY's vast no of tier 1 networks that can exchange traffic either way w/o fees.
#minereum
 @elonmusk",0,2,0
42,2022-01-22 11:18:13+00:00,@DogecoinRise can i exchange minereum bse to dogecoin?,0,0,0
43,2022-01-22 10:19:52+00:00,Help me minereum ... you’re my only hope 😂 #Crypto (ps. Minereum is a scam coin) https://t.co/vqYBPesMlG,0,0,0
44,2022-01-22 09:16:34+00:00,"Definitely wasnt expecting this tonight. Forgot i signed up for this airdrop and added the coin by accident trying to add a different version of it to my wallet. If you havent checked out Minereum i would suggest you do. The lands will be available on bsc, eth and poly https://t.co/Oi00c3pz8j",1,0,8
45,2022-01-22 04:26:01+00:00,最近polygonのトランザクションの大多数を占めてるMinereumなんかと思ったらAirdropしてて、信玄さんとかvividotさんとかが前に分析してたあれなやつでふむってなった,1,0,0
46,2022-01-21 22:12:50+00:00,Minereum BSC on @Coinbase: https://t.co/YPF3NVwyup https://t.co/g3lxtcUivJ,0,0,0
47,2022-01-21 20:31:43+00:00,@TheMoonCarl Minereum bsc 😎,1,0,0
48,2022-01-21 19:58:10+00:00,"@renoomokri Sir, how valuable is minereum???",0,0,1
49,2022-01-21 17:56:18+00:00,"Anyone else receive Minereum polygon in their wallet?? What I read its a scam, and I want to remove it from my wallet. Is there a way to do that?? #Coinbase #NFT #Crypto",4,2,7
50,2022-01-21 15:13:11+00:00,"One a second thought! #DYOR #mneb #mne #minereum 

Share your knowledge!

Its a difficult contract to understand

#CryptocurrencyNews
 possible #criptogem https://t.co/gVKIqi6rOk",1,0,0
51,2022-01-21 06:41:44+00:00,"@Phemex_official Much Respect Man But My Free VIP was supposed to last a week and it was just a couple hours lol
And When Is Minereum MNE coming
0x426ca1ea2406c07d75db9585f22781c096e3d0e0
mne smart contract, check it out, i need a home for my MNE'ing",0,0,0
52,2022-01-20 23:21:35+00:00,Does anyone know anything about Minereum bsc? Or MNEB?,0,0,2
53,2022-01-20 20:34:57+00:00,If I hear #minereum is up one more time I'm going to kick @cz_binance right in the pants 😆,0,0,0
54,2022-01-20 15:42:52+00:00,"@renoomokri Sir, can you tell me about Minereum?",0,0,0
55,2022-01-20 10:49:24+00:00,@TheMoonCarl minereum,0,0,0
56,2022-01-20 10:18:48+00:00,"@renoomokri please sir, I want to send you a direct message to ask about you about minereum coins.",0,0,0
57,2022-01-20 07:44:55+00:00,"#minereum could be great, but no one is interested in paying for it! Only if it's real .. 
#DYOR and you should know it's just a new airdrop tactic. 
Who would take the first leap of faith and unlock his genesis address, on a video, thousands would follow... However, it's risky.",0,0,0
58,2022-01-20 07:35:19+00:00,"MNEB、
Hotbit(取引所)ならWBNBと取引可能
→送金するにはウォレットアドレスをLevel3にしないといけない
→minereumにウォレットを接続…
　→できない
　　→Trust WalletはAndroidのみ対応
　　　→私はiOS
　　　　→無理

で解決しました",0,0,2
59,2022-01-20 04:35:31+00:00,"Anyone know what to do with Minereum BEC? I got 150,000 “tokens” in my wallet and it’s just stuck. 🤷🏼‍♂️ #Crypto",0,0,8
60,2022-01-19 22:04:01+00:00,"@TrustWallet Please I need answers to this, is minereum a real coin?",0,0,3
61,2022-01-19 14:27:31+00:00,"Mint Minereum Land NFTs (BSC Pre-Sale)
Available Land Plots:19919
Land Plots Minted:81
Land Plot Mint Fee:0.35 BNB
Number of Land Plots
1
Total BNB Cost:0.35 BNB
Your BNB Balance:

https://t.co/wxaIt6FKAt",1,0,0
62,2022-01-19 13:05:29+00:00,@cryptocom what is minereum? How it work? I think that is a big scam,0,0,0
63,2022-01-19 12:21:03+00:00,sana kasi legit na lang ung minereum 🥲🤣🤣🤣,0,0,0
64,2022-01-19 12:16:00+00:00,"Petróleo WTI, +0,94%, a US$ 86,22 o barril
Petróleo Brent, +0,72%, a US$ 88,13 o barril
Minério de ferro negociado na bolsa de Dalian teve alta de 4,26%, a 735 iuanes, o equivalente a US$ 115,8
#petroleo #minereum #economy",0,0,0
65,2022-01-19 10:40:05+00:00,"Welcome to Sole Tools, 'Minereum World Metaverse (ETH Chain)'! 
✅Our Discord: https://t.co/4cvg5qeEnq

29 owners on OpenSea
Floor Price is Ξ100

❤️ Enjoy @soletoolsapp charts!

#NFTwomen #NFTGame #BlockchainGaming #Switzerland https://t.co/2kUyMZ547B",0,0,1
66,2022-01-19 08:12:36+00:00,tanginang minereum to,0,0,0
67,2022-01-19 07:58:47+00:00,"@Kamarino8 @bitmoeen داداش رفتم debank
تمام هیستوری هارو چک کردم
یه چیزایی دستگیرم شده

این توکن minereum چی هست؟
۳۰۰ هزارتا برای من واریز شده
قبل هک",0,0,1
68,2022-01-19 06:02:11+00:00,"Just for information for those who don't know how to buy and upgrade #Minereum #MNE #MNEP on the #Polygon #PolygonNetwork #PolygonMatic 

 https://t.co/dWTjGM2Mal",0,0,0
69,2022-01-19 06:01:31+00:00,"Sekedar informasi buat yang belum tau cara membeli dan mengUpgrade #Minereum #MNE #MNEP di Jaringan #Polygon #PolygonNetwork  #PolygonMatic 

https://t.co/dWTjGM2Mal",0,0,0
70,2022-01-19 04:29:54+00:00,What is the use of #Minereum #BSC in my wallet,1,0,0
71,2022-01-19 04:29:43+00:00,What is the use of #Minereum #BSC in my wallet,0,0,0
72,2022-01-19 00:53:45+00:00,What is the use of #Minereum #BSC in my wallet,1,0,0
73,2022-01-18 21:16:01+00:00,"6-Bir başka sahtekarlıklardan biride Cüzdanınıza sizin isteğiniz dışında https://t.co/eqvOeGSyF9, minereum,""özellikle uzantısı io vs""tokenları gönderirler. Bunları cüzdanınıza eklemeyin. Çünkü eklediğinizde 182 bin vs miktarında dolarınız olduğunu görünce iştahınız kabaracaktır.",9,1,1
74,2022-01-18 16:07:49+00:00,@Minereumcoin minereum,0,0,0
75,2022-01-18 15:38:01+00:00,@binance @binance is minereum a legit coin,0,0,1
76,2022-01-18 15:24:13+00:00,@Dehkunle Minereum 💀,0,0,0
77,2022-01-18 14:35:44+00:00,@minereumtoken @BTCTN @0xPolygon @BinanceChain @ethereum @NFT @coinkit_ Impossible to swap on erc20 bsc because it s scam no!!!!! Who have swap minereum??? Anybody,0,0,2
78,2022-01-18 13:00:11+00:00,Does anyone know what minereum polygon is @0xPolygon?,0,0,0
79,2022-01-18 11:14:25+00:00,@davidgokhshtein Minereum BSC,0,0,0
80,2022-01-18 08:59:34+00:00,@Dehkunle $Minereum Bsc 😪😏,0,0,0
81,2022-01-18 02:21:10+00:00,"Top 5 #crypto gainers in the past 24 hours 

 $TouchFuture, Gained: 🔼220.78% 

$NFTmall, Gained: 🔼157.15% 

$ETH Fan Token, Gained: 🔼135.51% 

$Minereum, Gained: 🔼123.62% 

$MiniGame, Gained: 🔼116.62% 

 Sell(like) Buy more(retweet)",0,1,0
82,2022-01-18 01:48:48+00:00,Minereum BSC itu scam token bukan sih min? Itu wallet buat airdrop min 😭 https://t.co/ezI5hHJr6L,0,0,1
83,2022-01-18 01:20:52+00:00,"Top 5 #crypto gainers in the past 24 hours 

 $TouchFuture, Gained: 🔼235.69% 

$NFTmall, Gained: 🔼157.01% 

$MiniGame, Gained: 🔼141.53% 

$Minereum, Gained: 🔼114.27% 

$Golden Goose, Gained: 🔼100.18% 

 Sell(like) Buy more(retweet)",0,0,0
84,2022-01-18 00:40:58+00:00,#minereum https://t.co/6KioENGy6k,0,0,0
85,2022-01-18 00:40:15+00:00,Minereum https://t.co/6KioENGy6k,0,0,0
86,2022-01-17 23:20:39+00:00,"Top 5 #crypto gainers in the past 24 hours 

 $, Gained: 🔼651.95% 

$Squidanomics, Gained: 🔼556.93% 

$NFTmall, Gained: 🔼155.74% 

$Minereum, Gained: 🔼142.09% 

$Baby Shiba Coin, Gained: 🔼140.43% 

 Sell(like) Buy more(retweet)",0,0,0
87,2022-01-17 22:20:52+00:00,"Top 5 #crypto gainers in the past 24 hours 

 $Squidanomics, Gained: 🔼524.24% 

$Minereum, Gained: 🔼183.26% 

$Baby Shiba Coin, Gained: 🔼167.19% 

$NFTmall, Gained: 🔼154.98% 

$NFTMania, Gained: 🔼111.03% 

 Sell(like) Buy more(retweet)",0,0,0
88,2022-01-17 21:20:24+00:00,"Top 5 #crypto gainers in the past 24 hours 

 $Squidanomics, Gained: 🔼301.51% 

$Baby Shiba Coin, Gained: 🔼200.67% 

$NFTMania, Gained: 🔼195.47% 

$Minereum, Gained: 🔼191.07% 

$NFTmall, Gained: 🔼155.15% 

 Sell(like) Buy more(retweet)",0,0,0
89,2022-01-17 20:20:49+00:00,"Top 5 #crypto gainers in the past 24 hours 

 $MiniTesla, Gained: 🔼262.88% 

$NFTMania, Gained: 🔼237.58% 

$Squidanomics, Gained: 🔼190.73% 

$NFTmall, Gained: 🔼172.96% 

$Minereum, Gained: 🔼148.21% 

 Sell(like) Buy more(retweet)",0,0,0
90,2022-01-17 20:04:32+00:00,@RockinsJoseph @LunarCrush @ethereum @BinanceChain @0xPolygon Definitely. We see an increase of people understanding about first self mining token #Minereum . More and more people start to understand the project better and it's only a matter of time untill the FUD from uneducated people will dissapear.,6,1,1
