,Datetime,Text,LikeCount,RetweetCount,ReplyCount
0,2021-12-29 22:41:25+00:00,@ReySantoscrypto @HowlCityNft I'm holding $HWL Bought on your call sir @HowlCityNft,0,0,0
1,2021-12-29 16:25:53+00:00,@HowlCityNft God news #hwl $hwl,0,0,0
2,2021-12-28 20:53:18+00:00,@gate_io When you list $kdg $hwl #kdg #hwl,1,0,0
3,2021-12-28 18:19:53+00:00,"@TheMoonCarl Did you have in your wallet ? 
$UFO 
$RACA
 $WSG
 $KDG
 $QBIT
 $YAY
 $GAN
 $ATARI 
$HWL
 $CHICKS https://t.co/KgVnx6hlNg",0,0,0
4,2021-12-27 19:46:55+00:00,"@ReySantoscrypto Biggest losses: $HWL
Biggest gains: $YOOSHI",1,0,0
5,2021-12-27 17:47:38+00:00,@ReySantoscrypto @ImePlatform Following sir I didn't win since along i want to win badly for buying the dip $HWL $KWT wish me good luck everyone and wish you best all from my side🥳❤️ https://t.co/dNbGHyAEMX,0,0,0
6,2021-12-26 06:08:18+00:00,@HowlCityNft i love motor racing and $hwl #hwl #Metaverse,0,0,0
7,2021-12-22 14:15:04+00:00,@HowlCityNft Great $HWL 🌟🌟🚀🚀🚀🚀🚀🚀,5,1,0
8,2021-12-20 14:11:45+00:00,@HowlCityNft Amazing news. We are waiting $hwl,0,0,0
9,2021-12-19 19:07:35+00:00,@BtBanaliz $hwl beklentiniz devam ediyor mu,1,0,0
10,2021-12-18 18:28:03+00:00,@Eroverse_io @ReySantoscrypto $ERO $HWL,0,0,0
11,2021-12-18 17:53:25+00:00,@BurcuAlco $hwl inceleyebilir misiniZ?,0,0,0
12,2021-12-16 09:28:51+00:00,0.04 $ den #hwl $hwl aldim. Guzel bir oyun ve bence fiyati gayet uygun 😉 https://t.co/ezB0FAurLv,2,0,2
13,2021-12-16 08:10:02+00:00,"Arkadaşlar bu $HWL isimli coinden şikayetçiyim, paramı aldı🤣

Gaadeş şaka maka önce 2x yaptık sonra %30 zarar yazdırdı zalım.

Sanki bi dip oluşumu içinde gibi o yüzden buralardan maliyet düşürmek için alıyorum.✅

Şurdan▶️ Mexc üye olmayı unutmayın! : https://t.co/VMW10RHDrX https://t.co/sjiXnoWqDg",47,2,6
14,2021-12-16 06:49:58+00:00,@BtBanaliz $hwl tutuyor musunuz? sattınızmı?,0,0,0
15,2021-12-15 16:12:15+00:00,@ReySantoscrypto $Hwl,0,0,0
16,2021-12-15 15:56:00+00:00,@ReySantoscrypto $HWL,0,0,0
17,2021-12-15 14:52:47+00:00,@Kriptozenciii $hwl inceleyebilir misiniz? mexc te listeli,0,0,0
18,2021-12-15 11:39:14+00:00,Tek mumda -20 nedir amk $HWL,1,0,1
