,Datetime,Text,LikeCount,RetweetCount,ReplyCount
0,2021-09-30 23:09:07+00:00,"@LenardPiff @PancakeSwap @MiniFootballBsc MINIFOOTBALL!!!
WE ARE FAMILY!!!!!!
#MiniFootballBSC 
@MiniFootballBsc",0,0,0
1,2021-09-30 23:08:47+00:00,"@COiNSTANTIN1 @CarlRoegind @TheMoonCarl @MiniFootballBsc MINIFOOTBALL!!!
WE ARE FAMILY!!!!!!
#MiniFootballBSC 
@MiniFootballBsc",0,0,0
2,2021-09-30 23:07:56+00:00,"@mojivilo @MiniFootballBsc @elonmusk @Tesmanian_com @FCBarcelona MINIFOOTBALL!!!
WE ARE FAMILY!!!!!!
#MiniFootballBSC 
@MiniFootballBsc",1,0,0
3,2021-09-30 23:07:43+00:00,"@MiniFootballBsc @elonmusk @Tesmanian_com MINIFOOTBALL!!!
WE ARE FAMILY!!!!!!
#MiniFootballBSC 
@MiniFootballBsc",0,0,1
4,2021-09-30 23:07:15+00:00,"@MiniFootballBsc @CoinMarketCap @NFL @NFLPA MINIFOOTBALL!!!
WE ARE FAMILY!!!!!!
#MiniFootballBSC 
@MiniFootballBsc",0,0,0
5,2021-09-30 23:06:49+00:00,"@MiniFootballBsc @elonmusk MINIFOOTBALL!!!
WE ARE FAMILY!!!!!!
#MiniFootballBSC 
@MiniFootballBsc",0,0,0
6,2021-09-30 23:06:19+00:00,"@mojivilo @MiniFootballBsc @FCBarcelona MINIFOOTBALL!!!
WE ARE FAMILY!!!!!!
#MiniFootballBSC 
@MiniFootballBsc",2,1,0
7,2021-09-30 22:06:32+00:00,#minifootball https://t.co/Y5sdLunwny,18,1,0
8,2021-09-30 19:56:19+00:00,"@MiniFootballBsc @elonmusk @Tesmanian_com #MiniFootballBSC  
#MiniFootball 
#minifootballtoken  💜💜💜💜💜",0,0,0
9,2021-09-30 19:45:35+00:00,"@elonmusk @Tesmanian_com Hello elon
minifootball with you https://t.co/dSWiPiHtuX",0,0,0
10,2021-09-30 19:45:06+00:00,"@elonmusk @Tesmanian_com Hello elon
minifootball with you https://t.co/9UoHycRz0b",0,0,0
11,2021-09-30 19:44:46+00:00,"@elonmusk @Tesmanian_com Hello elon
minifootball with you",0,0,0
12,2021-09-30 19:39:32+00:00,@MiniFootballBsc @elonmusk @Tesmanian_com Minifootball https://t.co/DnW7F3pi1o,1,0,0
13,2021-09-30 19:35:37+00:00,@MiniFootballBsc @elonmusk @Tesmanian_com #MiniFootball 💜💜💜💜,0,0,0
14,2021-09-30 19:29:16+00:00,@MiniFootballBsc @elonmusk @Tesmanian_com #minifootball @elonmusk,0,0,0
15,2021-09-30 19:28:29+00:00,@MiniFootballBsc @elonmusk @Tesmanian_com Minifootball to the moon🔥🔥🔥🔥🔥🔥🔥,0,0,0
16,2021-09-30 19:26:45+00:00,"@elonmusk @Tesmanian_com Hello elon
minifootball with you https://t.co/56yhvQdsD8",0,0,0
17,2021-09-30 17:39:17+00:00,@COiNSTANTIN1 @michael_saylor @MiniFootballBsc #Minifootballbsc #MiniFootballtoken @MiniFootballBsc @MiniFootball_TR,0,0,0
18,2021-09-30 17:22:17+00:00,"@COiNSTANTIN1 @WatcherGuru @MiniFootballBsc We see minifootball
Family atmosphere with 55k+ members 
Nft coming soon 
24/7 voice chat 
We are going to the moon 
#MiniFootballBSC",2,0,0
19,2021-09-30 16:48:18+00:00,"@COiNSTANTIN1 @ManCityES @premierleague @MiniFootballBsc We see minifootball
Family atmosphere with 55k+ members 
Nft coming soon 
24/7 voice chat 
We are going to the moon 
#MiniFootballBSC",2,0,0
20,2021-09-30 14:45:04+00:00,@elonmusk @Tesmanian_com Minifootball 🔥🔥🔥,0,0,0
21,2021-09-30 14:34:36+00:00,@COiNSTANTIN1 @OKEx @OKExInsights @HunainNaseer @MiniFootballBsc #minifootballtoken #minifootball https://t.co/ZfSGqAsGJs,0,0,0
22,2021-09-30 14:11:11+00:00,@MiniFootballBsc Wtf @elonmusk never retweet he never promote you then why you crying again and again @MiniFootballBsc  never go up all guys I request you you withdraw your money from minifootball otherwise we will loss our all money very bad token,1,0,0
23,2021-09-30 14:10:29+00:00,@MiniFootballBsc @elonmusk @Tesmanian_com Wtf @elonmusk never retweet he never promote you then why you crying again and again @MiniFootballBsc  never go up all guys I request you you withdraw your money from minifootball otherwise we will loss our all money very bad token,1,0,0
24,2021-09-30 13:22:43+00:00,"@MiniFootballBsc @elonmusk @Tesmanian_com #MiniFootballBSC 
#MiniFootball 
Goooaaaaall 🚀⚽",11,2,0
25,2021-09-30 13:19:05+00:00,@elonmusk @Tesmanian_com @Minifootball definitely a goal,2,0,0
26,2021-09-30 13:11:57+00:00,"@COiNSTANTIN1 @elonmusk @Tesmanian_com @MiniFootballBsc Lets gooaall..⚽️⚽️⚽️⚽️⚽️
#MiniFootballBSC #MiniFootball #minifootballtoken #minifootballIndonesia",0,0,0
27,2021-09-30 13:10:06+00:00,"@elonmusk @Tesmanian_com Lets gooal..⚽️⚽️⚽️⚽️⚽️
@MiniFootballBsc 
#MiniFootballBSC #MiniFootball #minifootballtoken",2,0,0
28,2021-09-30 13:07:58+00:00,"@elonmusk @Tesmanian_com GOAAALLLLLLL 
LETS GOALLL
#MiniFootballBSC #MiniFootball https://t.co/qWIzvClDoK",0,0,0
29,2021-09-30 13:06:32+00:00,"Minifootball Association of Ghana is set to hold its annual general meeting AGM in Accra....at the Sarrland View Hotel, Tantra Hill Near Taifa Junction, Accra on Saturday, 2nd October 2021 at 10 am https://t.co/PsiGc1WOrx",1,1,0
30,2021-09-30 13:02:43+00:00,"@lasuppary @elonmusk @Tesmanian_com @MiniFootballBsc @MiniFootballBsc #MiniFootballBSC #MiniFootball Let's goalllllll,....",3,0,0
31,2021-09-30 12:55:58+00:00,@elonmusk @Tesmanian_com @MiniFootballBsc #MiniFootballBSC #MiniFootball lets goal,12,2,5
32,2021-09-30 12:11:07+00:00,@COiNSTANTIN1 @J__Nagelsmann @FCBayern @MiniFootballBsc To the PLUTOOO MiniFootBall,1,0,0
33,2021-09-30 11:28:31+00:00,"@COiNSTANTIN1 @BTC_Archive @MiniFootballBsc GREAT PROJECT BRO🚀🚀
minifootball to the moon🚀
@MiniFootballBsc @binance",1,1,0
34,2021-09-30 10:53:04+00:00,@COiNSTANTIN1 @ManUtd @AT13Oficial @Cristiano @MiniFootballBsc Lets goal ! #MiniFootball #MiniFootballBSC https://t.co/UdwuoacpRg,0,0,0
35,2021-09-30 10:50:46+00:00,"@COiNSTANTIN1 @ManUtd @AT13Oficial @Cristiano @MiniFootballBsc 🔥🔥🔥🔥🔥
#MiniFootballBSC #MiniFootball #minifootballtoken",1,0,0
36,2021-09-30 10:23:20+00:00,"@COiNSTANTIN1 @ManCityES @gabrieljesus9 @etihad @MiniFootballBsc Come and join us guys!!! We have a friendly community... we are going to the moon!!! @MiniFootballBsc 
#MiniFootball #MiniFootballBSC",0,0,0
37,2021-09-30 10:01:30+00:00,"@COiNSTANTIN1 @J__Nagelsmann @FCBayern @MiniFootballBsc 🔥🔥🔥🔥🔥
#MiniFootballBSC #MiniFootball #minifootballtoken",2,1,0
38,2021-09-30 09:33:59+00:00,"@Dwumfuor1 Minifootball is a variation of small-sided football. It is mainly played in a 5-a-side format, with additional variations of 6-a-side, 7-a-side, and 8-a-side on an astroturf.",0,0,1
39,2021-09-30 09:24:36+00:00,@COiNSTANTIN1 @binance @MiniFootballBsc Minifootball only way up from now https://t.co/3Uj2oK7GvB,0,0,0
40,2021-09-30 07:42:17+00:00,"@PancakeSwap 🙌🏽🙌🏽 go Messi!!! 

#MiniFootball https://t.co/3puXr7WQKz https://t.co/g5NEwS15x1",1,0,0
41,2021-09-30 07:32:05+00:00,"Minifootball Association of Ghana to hold a general meeting in Accra

https://t.co/pwqWbI8u1t https://t.co/Gb4EMGv8qz",28,1,1
42,2021-09-30 07:03:33+00:00,2$ dan #sxp ye emir verdim #xsp’nin 1.90 $ seviyesinden aşağı düşeceğini sanmıyorum ama #BTC nin yükselmesiyle rahat 5 6 $ seviyelerine çıkacaktır. #dent #Solana #SolanaSummer #sol #one #bat #TFUEL #slp #NFT #holo #Chz #btt #TRX #HODL #ICP #MiniFootball #XVS #ZIL #C98 #DOT #COTI,3,0,0
43,2021-09-30 05:28:56+00:00,"@richie_rich33 @HuobiGlobal @MiniFootballBsc We see minifootball
Family atmosphere with 55k+ members 
Nft coming soon 
24/7 voice chat 
We are going to the moon 
#MiniFootballBSC",0,0,0
44,2021-09-30 05:10:42+00:00,"@richie_rich33 @binance @bonfida @MiniFootballBsc We see minifootball
Family atmosphere with 55k+ members 
Nft coming soon 
24/7 voice chat 
We are going to the moon 
#MiniFootballBSC",2,0,0
45,2021-09-30 04:57:22+00:00,"Congratulation @FotclubSheriff 

#MiniFootball https://t.co/iXrRDSjSI7",5,2,0
46,2021-09-30 04:54:07+00:00,@PGG13MFTGOAL @richie_rich33 @davidgokhshtein @MiniFootballBsc Minifootball 1b mcap let's goal #MiniFootball,1,0,0
47,2021-09-30 04:29:53+00:00,"@shibaa_token @crypto_girl99 Another shib 
#MiniFootballBSC 
#MiniFootball",1,0,0
48,2021-09-30 03:31:34+00:00,@LenardPiff @TEAMtalk @MiniFootballBsc Minifootball token to the moon.,0,0,0
